sex,address,famsize,Pstatus,Mjob,Fjob,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,age,absences,G1,G2,G3
F,U,GT3,A,at_home,teacher,mother,yes,no,no,no,yes,yes,no,no,4,4,2,2,0,4,3,4,1,1,3,18,6,5,6,6
F,U,GT3,T,at_home,other,father,no,yes,no,no,no,yes,yes,no,1,1,1,2,0,5,3,3,1,1,3,17,4,5,5,6
F,U,LE3,T,at_home,other,mother,yes,no,yes,no,yes,yes,yes,no,1,1,1,2,3,4,3,2,2,3,3,15,10,7,8,10
F,U,GT3,T,health,services,mother,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,3,0,3,2,2,1,1,5,15,2,15,14,15
F,U,GT3,T,other,other,father,no,yes,yes,no,yes,yes,no,no,3,3,1,2,0,4,3,2,1,2,5,16,4,6,10,10
M,U,LE3,T,services,other,mother,no,yes,yes,yes,yes,yes,yes,no,4,3,1,2,0,5,4,2,1,2,5,16,10,15,15,15
M,U,LE3,T,other,other,mother,no,no,no,no,yes,yes,yes,no,2,2,1,2,0,4,4,4,1,1,3,16,0,12,12,11
F,U,GT3,A,other,teacher,mother,yes,yes,no,no,yes,yes,no,no,4,4,2,2,0,4,1,4,1,1,1,17,6,6,5,6
M,U,LE3,A,services,other,mother,no,yes,yes,no,yes,yes,yes,no,3,2,1,2,0,4,2,2,1,1,1,15,0,16,18,19
M,U,GT3,T,other,other,mother,no,yes,yes,yes,yes,yes,yes,no,3,4,1,2,0,5,5,1,1,1,5,15,0,14,15,15
F,U,GT3,T,teacher,health,mother,no,yes,yes,no,yes,yes,yes,no,4,4,1,2,0,3,3,3,1,2,2,15,0,10,8,9
F,U,GT3,T,services,other,father,no,yes,no,yes,yes,yes,yes,no,2,1,3,3,0,5,2,2,1,1,4,15,4,10,12,12
M,U,LE3,T,health,services,father,no,yes,yes,yes,yes,yes,yes,no,4,4,1,1,0,4,3,3,1,3,5,15,2,14,14,14
M,U,GT3,T,teacher,other,mother,no,yes,yes,no,yes,yes,yes,no,4,3,2,2,0,5,4,3,1,2,3,15,2,10,10,11
M,U,GT3,A,other,other,other,no,yes,no,no,yes,yes,yes,yes,2,2,1,3,0,4,5,2,1,1,3,15,0,14,16,16
F,U,GT3,T,health,other,mother,no,yes,no,no,yes,yes,yes,no,4,4,1,1,0,4,4,4,1,2,2,16,4,14,14,14
F,U,GT3,T,services,services,mother,no,yes,yes,yes,yes,yes,yes,no,4,4,1,3,0,3,2,3,1,2,2,16,6,13,14,14
F,U,GT3,T,other,other,mother,yes,yes,no,yes,yes,yes,no,no,3,3,3,2,0,5,3,2,1,1,4,16,4,8,10,10
M,U,GT3,T,services,services,mother,no,yes,no,yes,yes,yes,yes,no,3,2,1,1,3,5,5,5,2,4,5,17,16,6,5,5
M,U,LE3,T,health,other,father,no,no,yes,yes,yes,yes,yes,no,4,3,1,1,0,3,1,3,1,3,5,16,4,8,10,10
M,U,GT3,T,teacher,other,mother,no,no,no,no,yes,yes,yes,no,4,3,1,2,0,4,4,1,1,1,1,15,0,13,14,15
M,U,GT3,T,health,health,father,no,yes,yes,no,yes,yes,yes,no,4,4,1,1,0,5,4,2,1,1,5,15,0,12,15,15
M,U,LE3,T,teacher,other,mother,no,no,no,yes,yes,yes,yes,no,4,2,1,2,0,4,5,1,1,3,5,16,2,15,15,16
M,U,LE3,T,other,other,mother,no,yes,no,yes,yes,yes,yes,no,2,2,2,2,0,5,4,4,2,4,5,16,0,13,13,12
F,R,GT3,T,services,health,mother,yes,yes,yes,yes,yes,yes,yes,no,2,4,1,3,0,4,3,2,1,1,5,15,2,10,9,8
F,U,GT3,T,services,services,mother,no,yes,yes,no,no,yes,yes,no,2,2,1,1,2,1,2,2,1,3,5,16,14,6,9,8
M,U,GT3,T,other,other,mother,no,yes,yes,no,yes,yes,yes,no,2,2,1,1,0,4,2,2,1,2,5,15,2,12,12,11
M,U,GT3,T,health,services,mother,no,no,yes,no,yes,yes,yes,no,4,2,1,1,0,2,2,4,2,4,1,15,4,15,16,15
M,U,LE3,A,services,other,mother,yes,yes,no,yes,yes,yes,yes,no,3,4,1,2,0,5,3,3,1,1,5,16,4,11,11,11
M,U,GT3,T,teacher,teacher,mother,no,yes,yes,yes,yes,yes,yes,yes,4,4,1,2,0,4,4,5,5,5,5,16,16,10,12,11
M,U,GT3,T,health,services,mother,no,yes,yes,no,no,yes,yes,no,4,4,1,2,0,5,4,2,3,4,5,15,0,9,11,12
M,U,GT3,T,services,services,mother,no,yes,no,yes,yes,yes,yes,no,4,4,2,2,0,4,3,1,1,1,5,15,0,17,16,17
M,R,GT3,T,teacher,at_home,mother,no,yes,no,yes,yes,yes,yes,yes,4,3,1,2,0,4,5,2,1,1,5,15,0,17,16,16
M,U,LE3,T,other,other,mother,no,no,no,yes,no,yes,yes,no,3,3,1,2,0,5,3,2,1,1,2,15,0,8,10,12
M,U,GT3,T,other,other,mother,no,yes,yes,no,no,yes,yes,no,3,2,1,1,0,5,4,3,1,1,5,16,0,12,14,15
F,U,GT3,T,other,other,father,no,yes,no,yes,yes,yes,no,no,2,3,2,1,0,3,5,1,1,1,5,15,0,8,7,6
M,U,LE3,T,teacher,services,mother,no,yes,no,yes,yes,yes,yes,no,4,3,1,3,0,5,4,3,1,1,4,15,2,15,16,18
M,R,GT3,A,other,teacher,mother,no,yes,no,yes,yes,yes,yes,yes,4,4,2,3,0,2,4,3,1,1,5,16,7,15,16,15
F,R,GT3,T,services,health,mother,yes,yes,yes,yes,yes,yes,yes,no,3,4,1,3,0,4,3,2,1,1,5,15,2,12,12,11
F,R,GT3,T,at_home,other,mother,yes,yes,yes,yes,yes,yes,no,no,2,2,1,1,0,4,3,1,1,1,2,15,8,14,13,13
F,U,LE3,T,other,other,mother,no,yes,no,yes,no,yes,yes,yes,2,2,2,2,1,3,3,3,1,2,3,16,25,7,10,11
M,U,LE3,T,teacher,other,other,no,yes,no,no,no,yes,yes,yes,4,4,1,1,0,5,4,3,2,4,5,15,8,12,12,12
M,U,GT3,T,services,teacher,father,no,yes,no,yes,yes,yes,yes,no,4,4,1,2,0,4,3,3,1,1,5,15,2,19,18,18
M,U,GT3,T,services,services,father,yes,yes,no,no,yes,yes,yes,no,2,2,1,1,0,5,4,1,1,1,1,15,0,8,8,11
F,U,LE3,T,other,at_home,father,yes,no,no,yes,yes,yes,yes,no,2,2,2,2,1,4,3,3,2,2,5,16,14,10,10,9
F,U,LE3,A,other,other,mother,yes,yes,yes,yes,yes,yes,yes,yes,4,3,1,2,0,5,2,2,1,1,5,15,8,8,8,6
F,U,LE3,A,other,services,mother,no,yes,no,no,yes,yes,yes,no,3,3,1,2,0,2,3,5,1,4,3,16,12,11,12,11
M,U,GT3,T,health,services,mother,no,no,no,yes,yes,yes,yes,no,4,3,1,4,0,4,2,2,1,1,2,16,4,19,19,20
M,U,GT3,T,teacher,other,mother,no,yes,yes,no,yes,yes,no,no,4,2,1,2,0,4,3,3,2,2,5,15,2,15,15,14
F,U,GT3,T,services,teacher,father,yes,yes,no,yes,no,yes,yes,no,4,4,1,2,1,4,4,4,1,1,3,15,2,7,7,7
F,U,LE3,T,services,services,mother,no,yes,yes,no,yes,yes,yes,no,2,2,3,2,0,4,3,3,2,3,4,16,2,12,13,13
F,U,LE3,T,health,other,mother,no,yes,yes,no,yes,yes,yes,no,4,2,1,2,0,4,3,3,1,1,5,15,2,11,13,13
M,U,LE3,A,health,health,father,no,no,no,no,yes,yes,no,no,4,2,2,1,1,5,5,5,3,4,5,15,6,11,11,10
F,U,GT3,T,services,services,mother,yes,yes,yes,no,yes,yes,yes,no,4,4,1,1,0,3,3,4,2,3,5,15,0,8,10,11
